YEAR,MONTH,AGE,SEX,RACE,EDUC,EMPSTAT,WTFINL,MARST,METRO,DIFFANY
2023,3,12,2,652,1,0,688.4171,9,1,0
2023,3,9,1,652,1,0,878.4742,9,1,0
2023,3,24,1,651,73,10,829.0619,6,2,1
2023,3,24,1,100,73,10,859.2583,6,2,1
2023,3,56,1,100,73,34,813.2722,4,2,1
2023,3,53,1,651,71,32,644.215,4,2,2
2023,3,35,2,100,92,12,524.3843,1,3,1
2023,3,33,1,100,73,1,0.0,1,3,0
2023,3,11,1,100,1,0,570.5477,9,3,0
2023,3,76,2,300,10,36,970.3999,1,3,2
2023,3,51,1,300,73,36,1039.0977,1,3,2
2023,3,70,1,100,20,32,3189.7686,1,0,2
2023,3,68,2,100,30,10,2437.115,1,0,1
2023,3,61,2,100,20,32,2599.8571,5,0,2
2023,3,37,2,100,73,10,3764.148,1,0,1
2023,3,37,1,100,73,10,4497.0857,1,0,1
2023,3,16,1,100,40,22,3527.3174,6,0,1
2023,3,14,1,100,1,0,3966.3651,9,0,0
2023,3,69,1,100,40,36,3178.6031,1,0,1
2023,3,70,2,100,20,36,2469.8944,1,0,2
2023,3,17,1,100,60,34,3527.3174,6,0,1
2023,3,63,2,100,73,36,3884.7962,1,0,1
2023,3,69,1,100,73,36,3929.0172,1,0,1
2023,3,43,2,100,81,12,3388.6075,6,0,1
2023,3,53,2,100,50,34,3198.0223,3,0,1
2023,3,30,1,100,73,21,3868.6483,6,0,1
2023,3,65,1,100,73,10,3929.0172,1,0,1
2023,3,69,2,100,73,36,3382.9731,1,0,1
2023,3,55,1,100,91,10,5095.9233,6,0,2
2023,3,77,2,100,71,36,3793.3935,5,0,2
2023,3,44,1,100,73,10,6261.9928,1,2,1
2023,3,42,2,100,73,10,4194.8377,1,2,1
2023,3,55,1,100,111,10,5238.9472,1,3,1
2023,3,51,2,651,111,10,3560.7539,1,3,1
2023,3,11,1,100,1,0,5371.6909,9,3,0
2023,3,80,2,651,71,36,4372.8284,5,3,1
2023,3,80,2,100,111,36,3899.8602,5,3,1
2023,3,56,2,100,73,32,4464.8755,1,2,2
2023,3,64,1,100,81,32,4808.1836,1,2,1
2023,3,64,2,100,123,10,3736.0922,4,2,1
2023,3,61,1,100,125,10,4645.4539,1,3,1
2023,3,59,2,100,81,34,4464.8755,1,3,1
2023,3,46,1,100,91,10,4302.7517,4,2,1
2023,3,56,2,100,91,10,4342.9839,4,2,1
2023,3,58,1,100,73,10,5238.9472,4,3,1
2023,3,46,1,100,92,34,4423.5141,4,3,1
2023,3,71,1,100,111,34,3900.9606,1,2,1
2023,3,72,2,100,111,36,3124.8791,1,2,1
2023,3,65,2,100,73,36,3439.5379,1,3,1
2023,3,64,1,100,73,10,4541.3016,1,3,1
2023,3,78,1,100,123,36,4221.2309,1,3,1
2023,3,70,2,100,123,10,3212.583,1,3,1
2023,3,20,1,100,73,34,6894.3035,6,2,1
2023,3,19,1,100,73,10,6473.2283,6,2,1
2023,3,85,1,100,73,36,4105.9908,1,2,1
2023,3,80,2,100,73,36,3793.3935,1,2,1
2023,3,58,2,100,111,32,4464.8755,1,3,1
2023,3,58,1,100,73,10,5238.9472,1,3,1
2023,3,46,1,100,111,12,4302.7517,6,2,1
2023,3,63,2,100,91,34,4048.4353,1,3,1
2023,3,66,2,100,92,10,3525.474,1,3,1
2023,3,48,2,100,123,10,4027.3466,1,3,1
2023,3,46,1,100,123,10,4423.5141,1,3,1
2023,3,16,2,100,50,10,5009.17,6,3,1
2023,3,13,2,100,1,0,5233.5277,9,3,0
2023,3,11,2,100,1,0,3885.0258,9,3,0
2023,3,8,1,100,1,0,4583.5005,9,3,0
2023,3,74,2,100,111,36,3212.583,1,3,1
2023,3,68,1,100,81,36,4094.519,1,3,1
2023,3,80,2,100,111,36,3899.8602,5,3,1
2023,3,80,2,100,81,34,3793.3935,4,2,1
2023,3,28,1,100,73,10,6329.8953,1,2,1
2023,3,25,2,100,73,34,5458.2299,1,2,1
2023,3,17,1,100,71,34,4842.2532,6,2,1
2023,3,13,1,100,1,0,4627.7047,9,2,0
2023,3,9,2,100,1,0,4382.0359,9,2,0
2023,3,3,1,100,1,0,5115.4779,9,2,0
2023,3,68,2,100,73,34,3439.5379,5,3,2
2023,3,39,2,100,60,10,5312.4001,6,3,1
2023,3,45,2,100,73,12,4030.2827,6,3,1
2023,3,21,1,100,81,10,5877.4519,6,3,1
2023,3,18,1,100,73,34,4978.1575,6,3,1
