EMPSTATUS,SEX_F,EDUC_LEVEL,MARITAL,RESIDENCE,AGE_GROUP,MINORITY,DISABLED,WTFINL
Unemployed,Female,Secondary,Married,Urban,41-64,0,No difficulty,1587.8436
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,1418.2947
Inactive,Male,Primary,Single,Urban,16-24,0,No difficulty,2266.9849
Employed,Male,Higher,Single,Rural,41-64,0,No difficulty,1554.6391
Employed,Female,Higher,Single,Rural,41-64,0,No difficulty,1365.0491
Employed,Male,Secondary,Single,Urban,41-64,0,No difficulty,1679.7439
Employed,Male,Secondary,Single,Urban,36-40,0,No difficulty,2162.0305
Employed,Female,Secondary,Single,Urban,36-40,0,No difficulty,1870.9039
Employed,Female,Secondary,Single,Rural,41-64,0,No difficulty,1550.6173
Inactive,Male,Secondary,Single,Rural,25-35,0,No difficulty,2033.8341
Employed,Male,Primary,Married,Rural,41-64,0,No difficulty,1312.6622
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,1325.5737
Inactive,Female,Secondary,Single,Rural,36-40,0,No difficulty,1550.6173
Employed,Female,Secondary,Married,Rural,41-64,0,Disabled,1469.5834
Employed,Female,Secondary,Single,Rural,41-64,0,No difficulty,1469.5834
Employed,Female,Secondary,Single,Rural,41-64,0,No difficulty,1365.0491
Inactive,Male,Primary,Single,Rural,16-24,0,No difficulty,2098.1433
Employed,Female,Higher,Single,Urban,41-64,0,No difficulty,1452.0615
Employed,Male,Secondary,Single,Urban,41-64,0,No difficulty,1437.9179
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,1495.3036
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,1630.9673
Employed,Female,Secondary,Single,Rural,41-64,0,No difficulty,1698.5789
Employed,Male,Primary,Single,Rural,16-24,0,No difficulty,2298.3505
Inactive,Female,Higher,Married,Urban,25-35,0,No difficulty,1837.7658
Employed,Male,Higher,Married,Urban,25-35,0,No difficulty,1936.776
Employed,Male,Primary,Single,Rural,16-24,0,No difficulty,2234.6249
Inactive,Female,Secondary,Single,Rural,16-24,0,No difficulty,2072.9332
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,1719.5455
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,2029.6764
Employed,Male,Secondary,Single,Rural,16-24,0,No difficulty,1853.0288
Employed,Female,Secondary,Single,Rural,16-24,0,No difficulty,2066.5464
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,1488.8953
Employed,Male,Secondary,Single,Rural,41-64,0,No difficulty,1312.6622
Inactive,Male,Primary,Married,Urban,41-64,0,Disabled,1488.8953
Inactive,Female,Primary,Married,Urban,41-64,0,Disabled,1469.5834
Employed,Male,Primary,Married,Urban,41-64,0,No difficulty,1770.3678
Unemployed,Female,Secondary,Single,Urban,16-24,0,No difficulty,2425.3587
Employed,Male,Secondary,Married,Urban,36-40,0,No difficulty,1967.343
Employed,Female,Secondary,Married,Urban,41-64,0,No difficulty,1718.3407
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,1995.8998
Unemployed,Female,Secondary,Single,Urban,36-40,0,No difficulty,1731.5618
Inactive,Male,Secondary,Single,Urban,16-24,0,Disabled,2234.6249
Employed,Female,Secondary,Married,Urban,36-40,0,No difficulty,1731.5618
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,1312.6622
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,1801.0845
Inactive,Male,Primary,Single,Urban,16-24,0,No difficulty,1569.5015
Employed,Female,Primary,Married,Urban,41-64,0,No difficulty,1432.2452
Employed,Female,Primary,Married,Urban,41-64,0,No difficulty,1905.5411
